prefix	input_text	target_text
translate english to pcm	I will make a song to the Lord, because he has given me my reward.To the chief music-maker. Of David.	Yes! I go sing to God, bikos E don save mi.For Di Kwayamasta: David Song
translate english to pcm	No one can know the exact timing of that end , but evidence shows that it is close .	Nobody fit know when that day go be . But the things wey dey happen don help us know sey the time don near . ( 1 Thess .
translate pcm to english	Where una wan us run to?	Where do you want us to run to?
translate pcm to english	Another thing be sey , whether we be brother or sister , all of us get plenty work to do for God work . — 1 Cor .	In addition to this , whether we are brothers or sisters , we certainly have “ plenty to do in the work of the Lord . ” ​ — 1 Cor .
translate pcm to english	Toh!	Alright!
translate english to pcm	Are you Jesus?	You be Jesus?
translate english to pcm	Do I say, then, that what is offered to images is anything, or that the image is anything? 	I nor dey sey juju food or di one wey dem sakrifice mean anytin.
translate pcm to english	Jehovah really bless us as e see sey we want do more for im work . ( Mal .	Jehovah saw our desire to expand our ministry , and he opened “ the floodgates of the heavens ” to us .
translate english to pcm	Which, which police?	Which, which police?
translate english to pcm	Under Canaanite leadership , people did detestable things , which included incest , homosexuality , bestiality , child sacrifice , and gross idolatry .	Dem dey sleep with their own family person , dey sleep with animal , man dey sleep with man , dem dey sacrifice their children and dem dey serve juju . ( Lev .
translate english to pcm	And they went on from Alush, and put up their tents in Rephidim, where there was no drinking-water for the people. 	Dem komot from Alush kon travel go Refidim, where wota nor dey for di pipol to drink
translate pcm to english	Make we do like Paul . Make we do everything wey we fit do to do wetin Jehovah want .	May that also be true of us as we strive to be “ obedient from the heart . ”
translate pcm to english	Make we no forget wetin Bible talk , when e sey : ‘ All of us don sin and we no fit reach the level wey God don set for us . ’	We need to bear in mind this basic truth : “ All have sinned and fall short of the glory of God . ”
translate pcm to english	So we really put body for our new work . We surprise sey the first place wey dem send us go na the same Bethel wey our pikin with their husband dey for Malawi .	Much to our delight , our first assignment was to the Malawi branch , where our daughters and their husbands were serving .
translate english to pcm	One was Eunice Colin .	One of dem name na Eunice Colin .
translate english to pcm	And he came to his father, and said, My father: and he said, Here am I: who are you, my son?	Jakob go meet en papa kon sey, “My papa!” Isaak ansa, “Na mi bi dis. Wish of my pikin dey tok?”
translate english to pcm	And they said to him, The disciples of John frequently go without food, and make prayers, and so do the disciples of the Pharisees; but your disciples take food and drink. 	Den some pipol tell Jesus, “John disciples dey fast and pray and di Farisee disciples dey do di same tin too, but yor disciples just dey chop and drink anyhow.”
translate pcm to english	I go distroy pipol wey dey tok against am kon kill doz wey hate am.	I will have those who are against him broken before his face, and his haters will be crushed under my blows.
translate pcm to english	Bikos doz wey survive for Benjamin tribe must get shidren, so dat one tribe for Israel nor go die finish.	And they said, How is the rest of Benjamin to be given offspring so that one tribe of Israel may not be put out of existence, 
translate english to pcm	For the Lord has said, Make a glad song for Jacob and give a cry on the top of the mountains: give the news, give praise, and say, The Lord has given salvation to his people, even to the rest of Israel. 	God even sey, “Make una sing and happy for Israel pipol; make una happy for di nashon wey great well-well. Make dem hear una praiz for evriwhere kon sey, ‘God, make Yu save yor pipol, diliver Israel pipol wey remain.’
translate pcm to english	E really take care of Elisha well well . So because of this one , God bless im and im husband with pikin .	Through the prophet , God rewarded this childless woman and her elderly husband with a son .
translate english to pcm	There are many ways to do this .	E get many way to do this one .
translate english to pcm	The way in which his hand came to be lifted up against the king was this: Solomon was building the Millo and making good the damaged parts of the town of his father David; 	Dis na why e turn against King Solomon. King Solomon dey work for di land for di east side for Jerusalem and e dey ripair di town walls.
translate english to pcm	With conviction he said : “ Happy is the one whose transgression is pardoned . ” ​ — Read Psalm 32 : 1 - 3 , 5 .	So , make we no let problem wey don happen or wey never happen , come dey worry our mind join today own .
translate pcm to english	But di main food na pounded yam.	But the main food is pounded yam.
translate pcm to english	Lectures just dey go on, dey go on.	Classes went on.
translate english to pcm	( a ) Daniel’s godly devotion as a youth reveals what about his upbringing ?	( a ) How the love wey Daniel get for Jehovah take help us know the kind people wey im papa and mama be ?
translate english to pcm	I'll come and eat.	I go come chop now.
translate english to pcm	And take all the goods into the middle of its open space, burning the town and all its property with fire as an offering to the Lord your God; it is to be a waste for ever; there is to be no more building there.	Una must gada all di dirty for der kon put am for di street centre, den burn di town rish groun as ofrin to di Oga una God. Una must distroy di town forever and make nobody build am again.
translate pcm to english	Other people fit no happy because them de sick , or because somebody wey they love die .	Still others may be at a loss after being diagnosed with a serious illness , or they may be heartbroken after losing a loved one in death .
translate english to pcm	So a long time ago, I was hearing that the university is a big place where you come to, you know, and meet people, as in...	So before, before I bin dey hear sey university na one kind big place wey be sey you just come you know meet people as in.
translate english to pcm	“ I made up my mind very early on to pioneer .	E talk sey : “ Na since when I dey young I make up my mind sey I go pioneer .
translate pcm to english	Everyday, I, I, I...	Everyday, I, I, I...
translate pcm to english	I tell Jehovah sey : “ If the dog dem reach where we dey , abeg , make we quick die ! ”	We held hands , and I even prayed , “ Jehovah , please , when they get us , may we die quickly ! ”
translate pcm to english	E fit still be sey na person go be the sacrifice no be animal . This one mean sey the person go use all im life serve God till e die	A person could also be given to Jehovah as a burnt offering , meaning that the person would serve God for the rest of his life
translate english to pcm	The altar is to be hollow, boarded in with wood; make it from the design which you saw on the mountain. 	Take wood make di altar kon put hole inside akordin to di plan wey I show yu for di mountin.
translate pcm to english	But Jerusalem nor do wetin I kommand and e show sey e wiked pass di oda nashons. E disobey mi pass all di kountries wey dey round am. Jerusalem rijet my kommand and e nor gri receive my laws.	And she has gone against my orders by doing evil more than the nations, and against my rules more than the countries round her: for they have given up my orders, and as for my rules, they have not gone in the way of them. 
translate pcm to english	di chair wey betta pass for sinagog and high tabol for party, na der dem dey like sidan put.	And to have the chief seats in the Synagogues and the first places at feasts; 
translate pcm to english	Den Elijah sey, “Make una do am again and again.” So dem do am three times.	And he said, Do it a third time, and they did it a third time. 
translate pcm to english	18 : 6 .	18 : 6 .
translate pcm to english	Bikos I dey fear and know sey yu hash well-well. Yu dey chop food wey nor bi yor own and yu dey plok fruit wey yu nor plant!’	Because I was in fear of you, for you are a hard man: you take up what you have not put down, and get in grain where you have not put seed. 
translate english to pcm	Thus , he needed faith .	12 : 10 - 12 , 14 ) So , e need faith .
translate english to pcm	And when it had been broken with an act of praise, he said, This is my body which is for you: do this in memory of me. 	and afta e don tank God, e divide am kon sey, “Dis na my body wey I dey give una. Make una always dey chop am to remember mi.”
translate english to pcm	But if, after looking at it, he sees that there are no white hairs on it, and it is not deeper than the skin, and it is not very bright, then let the priest keep him shut up for seven days: 	If di priest look am kon si sey di hair wey dey der neva turn white and e nor deep pass di skin, but e get lite kolour, di priest go separate di pesin from oda pipol for seven days.
translate pcm to english	I like how dem dey talk and the way dem take dey explain Bible .	Their abilities in speaking and explaining Bible truths impressed me .
translate english to pcm	For honour does not come from the east, or from the west, or uplifting from the south;	Viktory nor dey kom from east or west or from di wildaness,
translate english to pcm	The upright will have the earth for their heritage, and will go on living there for ever.	Doz wey dey fear God go inherit di land and dem go stay der forever.
translate english to pcm	On rare occasions , you or someone you know may experience or observe what seems to be an injustice in the congregation .	Sometimes , you fit think sey dem no treat you well or dem no treat person wey you know for congregation well .
translate pcm to english	Apostle Peter still do another one , and na one woman wey im name na Dorcas ( Tabitha ) e bring come life .	The apostle Peter was responsible for another one , that of the Christian woman Dorcas ( Tabitha ) .
translate pcm to english	I wan go buy shop tins.	I want to go buy my shop items.
translate english to pcm	Health problems ( See paragraph 15 )	Serious sickness ( Check paragraph 15 )
translate pcm to english	One person come talk sey e go like sell im own . E even advice other people around am make dem still sell their own .	Another neighbor decided to sell , and he encouraged the others around him to do the same .
translate pcm to english	8 : 12 .	8 : 12 .
translate pcm to english	Den Elisha tell dem, “Dis nor bi di rite road or town. Make una follow mi and I go take una go meet di man wey una dey find.” So e karry all of dem go Samaria.	And Elisha said to them, This is not the way, and this is not the town: come after me so that I may take you to the man you are searching for. And he took them to Samaria. 
translate pcm to english	So when this one happen , we go just talk small , or we go just say na mistake . Then we go the next door . But we go decide - am quick - quick .	We had to determine quickly if we should try to give a short Scriptural presentation or just acknowledge our mistake and move on .
translate english to pcm	Then reinforcing her words , she may administer some form of appropriate punishment .	E go explain to am sey na good thing e dey tell am , and sey e no go hard am to do .
